#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123
# YYMMDD STN   WS    WR  WD   WS   WS  WD   WS   WS    TA    TA   TA    TA   TA    TD    TS    TG    HM    HM   HM    PV  EV_S  EV_L    FG     PA     PS     PS   PS     PS   PS   CA   SS   SS   SS    SI    SI   SI     RN     RN    RN     RN   RN     RN   RN     RN   RN     SD   SD     SD   SD    TE    TE    TE    TE    TE
#    KST  ID  AVG   DAY MAX  MAX  MAX INS  INS  INS   AVG   MAX  MAX   MIN  MIN   AVG   AVG   MIN   AVG   MIN  MIN   AVG               DUR    AVG    AVG    MAX  MAX    MIN  MIN  TOT  DAY  DUR  CMB   DAY   60M  60M    DAY    D99   DUR    60M  60M    10M  10M    POW  POW    NEW  NEW    MAX  MAX     5    10    15    30    50
#             m/s     m  16  m/s   TM  16  m/s   TM     C     C   TM     C   TM     C     C     C     %     %   TM   hPa    mm    mm    hr    hPa    hPa    hPa   TM    hPa   TM    %   hr   hr   hr         MAX   TM     mm     mm    hr     mm   TM     mm   TM     mm   TM     cm   TM     cm   TM     C     C     C     C     C
20260820  90  1.3  1085   2  2.6 1232  36  4.7  150  25.2  27.5 1043  23.1  526  22.9  27.9  22.9  87.5  73.0 1044  28.0   3.0   2.1 -9.00 1011.8 1013.8 1014.8 1003 1012.8 1631  9.5  0.9 13.5 -9.0 12.56  2.25 1200   -9.0   -9.0 -9.00   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820  93  0.5   403  16  1.7 1537  16  2.9 1532  25.0  29.3 1313  21.7  453  23.0  26.6  22.7  89.6  68.0 1302  28.1   2.8   2.0 -9.00 1003.4 1014.4 1015.8  918 1013.0 1809  9.5  2.1 13.5 -9.0 11.45  2.48 1100    0.0    0.4  4.17    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9  28.2  27.8  26.3  22.2  19.2
20260820  95  0.8   662  25  2.2 1229  25  4.6 1222  25.1  29.8 1202  21.5  534  22.7  27.3  21.7  88.3  58.0 1205  27.6   2.9   2.1 -9.00  996.6 1014.3 1015.6  830 1013.0 1800  9.4  2.6 13.5 -9.0 11.65  2.52 1100    0.0    1.4 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820  98  0.5   458  18  2.1 1051  18  4.9 1049  25.6  30.0 1155  22.2  600  21.0  28.5  23.0  76.6  54.0 1144  24.9   3.0   2.1 -9.00 1000.6 1013.8 1014.9  854 1012.5 1831  9.3  1.8 13.5 -9.0 11.77  2.38 1000    0.2   -9.0 -9.00    0.2   -9    0.2   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820  99  0.4   357  27  1.5 1022  29  3.3 1020  25.2  29.7 1136  22.2  443  23.0  28.3  22.6  88.6  64.0 1140  28.1   2.6   1.8 -9.00 1010.9 1014.4 1015.5  845 1013.2 1826  9.8  1.6 13.5 -9.0 11.32  1.79 1100    0.3   -9.0 -9.00    0.3 1336    0.2   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820 100  1.0   896  27  3.1 1559  34  5.3 1309  21.9  27.6 1204  17.7  553  19.5  23.0  16.7  87.8  63.0 1202  22.8   2.7   1.9 -9.00  928.6 1014.1 1016.2  639 1012.3 1554  9.0  1.7 13.5 -9.0 11.30  2.38 1100    1.3   -9.0 -9.00    0.9 2203    0.7 2233   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820 101  1.0   856  29  2.4  156  32  3.9  152  25.2  29.7 1239  22.2  406  22.3  26.4  21.5  85.0  60.0 1248  27.0   2.9   2.0 -9.00 1004.6 1013.2 1014.8  920 1011.8 1828  9.6  0.9 13.5 -9.0 10.86  2.42 1100    0.1    0.2 -9.00    0.1   -9    0.1   -9   -9.0   -9   -9.0   -9   -9.0   -9  27.9  26.2  24.6  19.9  16.3
20260820 102  2.1  1824  16  5.7 1136  14  8.6 1023  24.7  26.8 1637  23.5  529  23.1  27.8  23.5  90.9  82.0 1202  28.2   2.1   1.5 -9.00 1008.6 1012.7 1014.1 1122 1011.6 1732  9.1  0.2 13.5 -9.0  8.60  1.28 1100    0.1   -9.0  7.33    0.1   -9    0.1   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820 104  0.5   434   5  2.3 1330  36  3.7 1334  25.0  29.1 1228  21.9  535  23.0  26.8  21.3  88.9  79.0  400  28.1   1.4   1.0 -9.00 1004.3 1012.9 1014.0  648 1012.2 1640  9.1 -9.0 13.5 -9.0 -9.00  1.72 1100    0.1    0.1  3.50    0.1   -9    0.1   -9   -9.0   -9   -9.0   -9   -9.0   -9  26.1  24.3  23.0  18.8  14.2
20260820 105  1.3  1109  25  2.9  304  25  5.5  308  26.0  28.9 1242  24.2  636  21.3  26.5  22.6  76.3  66.0 1151  25.4   2.5   1.7 -9.00 1010.7 1013.8 1015.0  918 1012.8 1844  9.1  0.3 13.5 -9.0  9.18  1.86 1200    0.1   -9.0 -9.00    0.1   -9    0.1   -9   -9.0   -9   -9.0   -9   -9.0   -9  27.4  25.4  24.9  20.3  16.8
20260820 106  1.4  1196   2  3.0 1306   2  4.5 1446  25.3  29.2 1214  23.5  635  22.3  26.7  21.3  84.6  66.0 1155  27.0   2.9   2.0 -9.00 1009.4 1014.0 1015.2  913 1013.0 1852  9.3  1.4 13.5 -9.0 10.99  2.55 1100    0.5   -9.0 -9.00    0.5 1434    0.3 1524   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820 108  1.6  1379   2  2.7 1753  36  4.1 1850  26.0  28.0 1208  24.0  613  21.9  25.6  20.5  79.0  68.0 1132  26.4   2.3   1.6 -9.00 1004.1 1013.9 1015.0  836 1012.5 1835  9.6  0.1 13.5 -9.0  6.88  1.01  900    1.8    2.1  6.00    1.5 1252    0.8 1313   -9.0   -9   -9.0   -9   -9.0   -9  27.6  26.4  25.8  20.9  16.3
20260820 112  1.2   995  23  2.8 1144  18  4.9 1002  26.6  27.8 1659  25.5  558  24.0  27.3  21.9  85.9  78.0 1007  29.8   2.0   1.4 -9.00 1005.8 1013.6 1014.9 1141 1012.3 1826  9.6  0.0 13.5 -9.0  7.60  1.13 1500    0.7    1.0  7.08    0.7 1245    0.3 1245   -9.0   -9   -9.0   -9   -9.0   -9  26.7  25.7  24.0  20.0  15.8
20260820 114  1.1   953  29  2.6 1242  36  4.3 1426  26.3  29.2 1501  23.9  328  22.6  28.4  23.4  81.0  64.0 1530  27.4   2.6   1.8 -9.00  996.6 1013.6 1015.0  920 1012.2 1804  9.3  0.1 13.5 -9.0  9.74  1.43 1100    0.0   -9.0 -9.00    0.0   -9    0.0   -9   -9.0   -9   -9.0   -9   -9.0   -9 -99.0 -99.0 -99.0 -99.0 -99.0
20260820 115  1.2  1056  20  2.7 1146  23  4.5  404  26.8  29.1 1149  25.3  441  24.6  28.4  23.5  88.3  83.0 1418  31.0   3.1   2.2  1.50  988.7 1013.6 1014.7  748 1012.6 1609  9.1  1.8 13.5 -9.0 11.94  2.21 1100   23.6    0.2  5.98   20.1  350   12.6  407   -9.0   -9   -9.0   -9   -9.0   -9  24.6  22.8  21.4  15.0 -99.0
